state,county,trump votes,clinton votes,total votes,trump vote %,clinton vote %,electric vehicle %,population,voter turnout %
colorado,Pueblo,35875,36265,72140,49.73,50.27,0.8424412614396252,164774.0,43.78117906951339
colorado,Mesa,21729,49779,71508,30.39,69.61,0.951221048652962,149736.0,47.75605064914249
colorado,Broomfield,19731,14367,34098,57.87,42.13,2.3938247131615307,66513.0,51.26516620810969
colorado,La Plata,15525,12587,28112,55.23,44.77,1.168158432588625,55316.0,50.82073902668306
colorado,Garfield,11271,13132,24403,46.19,53.81,1.436510926902788,58785.0,41.51229055031045
colorado,Eagle,14099,8990,23089,61.06,38.94,1.3876592284759235,54541.0,42.333290552061754
colorado,Fremont,5297,15122,20419,25.94,74.06,0.6851669378308394,46976.0,43.466876702997276
colorado,Montrose,5466,14382,19848,27.54,72.46,0.7383023747942631,41151.0,48.232120726106295
colorado,Delta,4087,11655,15742,25.96,74.04,0.9330990985801916,30346.0,51.87504119159032
colorado,Summit,9557,5100,14657,65.2,34.8,1.179904365646153,30552.0,47.9739460591778
colorado,Elbert,3134,11705,14839,21.12,78.88,0.9519629091108612,25157.0,58.98557061652821
colorado,Teller,3603,9745,13348,26.99,73.01,0.8125754027393371,24058.0,55.48258375592319
colorado,Routt,7600,5230,12830,59.24,40.76,0.7165720936999855,24682.0,51.98120087513167
colorado,Montezuma,3973,7853,11826,33.6,66.4,0.7507128162558198,25994.0,45.49511425713626
colorado,Morgan,3151,8145,11296,27.89,72.11,0.7674986521201358,28199.0,40.05815809071244
colorado,Chaffee,4888,5391,10279,47.55,52.45,0.9100787829394188,19110.0,53.78859236002093
colorado,Pitkin,7333,2550,9883,74.2,25.8,2.8409381227326147,17975.0,54.981919332406115
colorado,Park,3421,6135,9556,35.8,64.2,0.6955466343011858,17343.0,55.10004036210575
colorado,Logan,1851,7282,9133,20.27,79.73,0.5964214711729621,22435.0,40.70871406284823
colorado,Gunnison,5128,3289,8417,60.92,39.08,0.9414281893554428,16414.0,51.27939563787011
colorado,Grand,3358,4494,7852,42.77,57.23,0.7610946331635795,15179.0,51.72936293563476
colorado,Otero,2943,4928,7871,37.39,62.61,0.4755996691480561,18266.0,43.09098872221614
colorado,Archuleta,2500,4264,6764,36.96,63.04,0.9009009009009008,12825.0,52.74074074074074
colorado,Alamosa,3189,3046,6235,51.15,48.85,0.6294361858845587,16053.0,38.84009219460537
colorado,Las Animas,2650,3710,6360,41.67,58.33,0.6832451064877508,14073.0,45.19292261777873
colorado,Moffat,874,5305,6179,14.14,85.86,0.2191897051544933,13144.0,47.01004260499087
colorado,Clear Creek,2729,2575,5304,51.45,48.55,1.0894125242091672,9353.0,56.709077301400626
colorado,Rio Grande,2001,3085,5086,39.34,60.66,0.3087641516902859,11337.0,44.86195642586222
colorado,Prowers,1186,3531,4717,25.14,74.86,0.2650865429596133,11926.0,39.55223880597015
colorado,Yuma,726,3850,4576,15.87,84.13,0.3065999677263191,10055.0,45.50969666832422
colorado,San Miguel,2975,1033,4008,74.23,25.77,1.5363605326049845,8017.0,49.993763253087195
colorado,Conejos,1771,1914,3685,48.06,51.94,0.3779646603042615,8050.0,45.77639751552795
colorado,Huerfano,1633,1883,3516,46.44,53.56,0.6952643316279679,6580.0,53.43465045592705
colorado,Kit Carson,536,2967,3503,15.3,84.7,0.3747724595781133,7626.0,45.9349593495935
colorado,Gilpin,1634,1566,3200,51.06,48.94,1.513574117081765,5914.0,54.108894149475816
colorado,Rio Blanco,436,2791,3227,13.51,86.49,0.3002593148628361,6436.0,50.13983840894966
colorado,Ouray,1697,1351,3048,55.68,44.32,1.3986013986013988,4789.0,63.6458550845688
colorado,Lake,1616,1270,2886,55.99,44.01,0.4429678848283498,7590.0,38.023715415019765
colorado,Custer,797,2061,2858,27.89,72.11,0.8152677413377801,4588.0,62.292938099389715
colorado,Saguache,1417,1147,2564,55.27,44.73,0.9934219358303128,6412.0,39.987523393636934
colorado,Washington,296,2299,2595,11.41,88.59,0.4328310355883296,4834.0,53.68225072403806
colorado,Lincoln,409,1892,2301,17.77,82.23,0.3982080637132902,5551.0,41.451990632318505
colorado,Phillips,436,1791,2227,19.58,80.42,0.5603287261860294,4280.0,52.03271028037383
colorado,Baca,283,1753,2036,13.9,86.1,0.3648155654641264,3530.0,57.6770538243626
colorado,Bent,590,1188,1778,33.18,66.82,0.2391200382592062,5833.0,30.48174181381793
colorado,Costilla,1125,588,1713,65.67,34.33,0.2174858634188778,3693.0,46.38505280259951
colorado,Crowley,339,1079,1418,23.91,76.09,0.336906584992343,5285.0,26.830652790917693
colorado,Sedgwick,267,1015,1282,20.83,79.17,0.6099518459069022,2400.0,53.41666666666667
colorado,Dolores,242,944,1186,20.4,79.6,0.5510653930933138,2056.0,57.68482490272373
colorado,Cheyenne,132,925,1057,12.49,87.51,0.4465947152958691,1850.0,57.13513513513514
colorado,Jackson,171,629,800,21.38,78.62,0.1031459515214028,1358.0,58.91016200294551
colorado,Kiowa,91,728,819,11.11,88.89,0.3139717425431712,1342.0,61.028315946348734
colorado,Mineral,237,344,581,40.79,59.21,0.6501182033096926,756.0,76.85185185185185
colorado,Hinsdale,197,339,536,36.75,63.25,0.6628787878787878,788.0,68.02030456852792
colorado,San Juan,265,215,480,55.21,44.79,0.5361930294906166,691.0,69.46454413892909
delaware,New Castle,162919,85525,248444,65.58,34.42,1.5490424755032863,555058.0,44.760007062325016
delaware,Sussex,39333,62611,101944,38.58,61.42,1.3718277066356228,219321.0,46.4816410649231
delaware,Kent,33351,36991,70342,47.41,52.59,1.1807049951438748,174542.0,40.30090178868124
florida,Miami-Dade,333999,624146,958145,34.86,65.14,1.050977206203754,2692213.0,35.58949459050974
florida,Broward,260951,553320,814271,32.05,67.95,1.4571136931956556,1912583.0,42.574413764003964
florida,Palm Beach,272402,374673,647075,42.1,57.9,1.836980251292613,1450890.0,44.59848782471448
florida,Hillsborough,266870,307896,574766,46.43,53.57,1.367998131008246,1396693.0,41.15192100196679
florida,Orange,195216,329894,525110,37.18,62.82,1.3789444891125051,1326516.0,39.585651435791206
florida,Pinellas,239201,233701,472902,50.58,49.42,1.5598957330148826,959874.0,49.26709130573388
florida,Duval,211672,205704,417376,50.71,49.29,1.1735765831031215,926010.0,45.072515415600265
